antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'electronics.audio.headphone_samsung'}),frozenset({'electronics.smartphone_samsung'}),0.011146983019945426,0.14404932548785648,0.0023265411355175014,0.20871487211872436,1.4489125263992941,1.0,0.0007208257502697732,1.0817221812370146,0.3133197808364926,0.0152191056185208,0.07554821621902988,0.11243293772394176
frozenset({'electronics.smartphone_samsung'}),frozenset({'electronics.audio.headphone_samsung'}),0.14404932548785648,0.011146983019945426,0.0023265411355175014,0.01615100332915916,1.448912526399294,1.0,0.0007208257502697732,1.005086167009517,0.36196853368482235,0.0152191056185208,0.00506042882338161,0.11243293772394176
frozenset({'furniture.bedroom.pillow_dogland'}),frozenset({'electronics.smartphone_apple'}),0.005936023638502672,0.0395256812656243,0.003300626247854065,0.5560332048621405,14.067643796584616,1.0,0.003066000869533397,2.1633922384581297,0.9344618782764943,0.07828609592185999,0.5377629714005493,0.31976953548835113
frozenset({'electronics.smartphone_apple'}),frozenset({'furniture.bedroom.pillow_dogland'}),0.0395256812656243,0.005936023638502672,0.003300626247854065,0.08350586611456176,14.067643796584617,1.0,0.003066000869533397,1.0846375766173266,0.9671418301967757,0.07828609592185999,0.07803304849651886,0.31976953548835113
frozenset({'electronics.smartphone_samsung'}),frozenset({'electronics.smartphone_awax'}),0.14404932548785648,0.007401990934936922,0.0038268257936329856,0.02656607922787942,3.589045090894293,1.0,0.0027605739921880935,1.0196870972790242,0.8427756147913122,0.025922702780029568,0.019306998520975602,0.27178280185835246
frozenset({'electronics.smartphone_awax'}),frozenset({'electronics.smartphone_samsung'}),0.007401990934936922,0.14404932548785648,0.0038268257936329856,0.5169995244888255,3.589045090894293,1.0,0.0027605739921880935,1.7721528609392445,0.7267537808407243,0.025922702780029568,0.435714592097886,0.27178280185835246
frozenset({'electronics.video.tv_megogo'}),frozenset({'electronics.smartphone_awax'}),0.003322624556624087,0.007401990934936922,0.0027445090021479147,0.8260063559322033,111.59245710954688,1.0,0.0027199149652995845,5.70479464570727,0.99434264814997,0.3439188444150402,0.8247088524470416,0.598393097129202
frozenset({'electronics.smartphone_awax'}),frozenset({'electronics.video.tv_megogo'}),0.007401990934936922,0.003322624556624087,0.0027445090021479147,0.37077983832620065,111.59245710954688,1.0,0.0027199149652995845,1.5839883019515733,0.9984291846232861,0.3439188444150402,0.3686822063218921,0.598393097129202
frozenset({'electronics.video.tv_okko'}),frozenset({'electronics.smartphone_awax'}),0.002776186566776746,0.007401990934936922,0.0022579064121550337,0.813312202852615,109.87749242083419,1.0,0.0022373571043540585,5.316887467912182,0.9936575337244891,0.28507943561826465,0.8119200366689956,0.5591763106512243
frozenset({'electronics.smartphone_awax'}),frozenset({'electronics.video.tv_okko'}),0.007401990934936922,0.002776186566776746,0.0022579064121550337,0.3050404184498336,109.87749242083419,1.0,0.0022373571043540585,1.434937858125261,0.998288275795277,0.28507943561826465,0.3031057098831478,0.5591763106512243
